Countries and territories,Country Code,% 0-14,% 15-64,% 65 and above,Population total,% Male,% Female,Current health expenditure (% of GDP)
Namibia,NAM,36.91024919,59.45371913,3.636031681,2448255,48.44630968,51.55369032,9.12250271
Nauru,NRU,,,,12704,,,11.10191475
Nepal,NPL,30.41426532,63.8580639,5.727670776,28087871,45.46465667,54.53534333,6.29441655
Netherlands,NLD,16.10815871,64.69564866,19.19619263,17231017,49.77905644,50.22094356,10.35932019
new_caledonia,NCL,22.74092567,68.08491641,9.174157925,284060,50.33894552,49.66105448,
new_zealand,NZL,19.65343146,64.69414402,15.65242453,4885500,49.1622306,50.8377694,9.22193561
Nicaragua,NIC,30.2016812,64.55082135,5.247497448,6465513,49.28729432,50.71270568,8.74635494
Niger,NER,49.98432461,47.42066751,2.595007883,22442948,50.2289974,49.7710026,6.22894111
Nigeria,NGA,43.86663998,53.38598302,2.747377005,195874740,50.66388645,49.33611355,3.64671499
North America,NAC,18.4202023,65.62722033,15.95257736,364290258,49.49305825,50.50694175,16.58004702
north_macedonia,MKD,16.51699963,69.81281899,13.67018138,2082958,50.03353406,49.96646594,6.34410858
Northern Mariana Islands,MNP,,,,56882,,,
Norway,NOR,17.54903838,65.40173947,17.04922216,5314336,50.47536887,49.52463113,10.50063009
Not classified,INX,,,,,,,
OECD members,OED,17.82692642,65.05445517,17.11861841,1303529456,49.18859657,50.81140343,12.5863211
Oman,OMN,22.24650599,75.36070706,2.392786956,4829483,65.98591648,34.01408352,4.29254957
Other small states,OSS,29.93923473,64.56829948,5.492465783,30758989,53.14945532,46.85054468,4.830675596
Pacific island small states,PSS,35.03655477,60.42612785,4.537317377,2457367,50.7290708,49.2709292,5.270473623
Pakistan,PAK,35.2698146,60.41741109,4.312774311,212215030,51.46192528,48.53807472,2.75283024
Palau,PLW,,,,17907,,,11.68764783
Panama,PAN,27.06230432,64.8329646,8.10473108,4176873,50.09461635,49.90538365,7.26068297
papua_new_guinea,PNG,35.8159344,60.73879635,3.445269251,8606316,51.03727213,48.96272787,1.97579249
Paraguay,PRY,29.4405056,64.12927939,6.430215009,6956071,50.84838865,49.15161135,8.02487617
Peru,PER,25.79060285,66.12100436,8.088392792,31989256,49.66224451,50.33775549,5.14391365
Philippines,PHL,30.9630402,63.91439103,5.122568768,106651922,50.25834261,49.74165739,4.38594904
Poland,POL,15.05227681,67.42990642,17.51781676,37978548,48.46929262,51.53070738,6.51647873
Portugal,PRT,13.45790782,64.58823464,21.95385754,10281762,47.28803829,52.71196171,9.07636096
Post-demographic dividend,PST,16.09123862,64.95424441,18.95451697,1109997273,49.09084408,50.90915592,13.00221949
Pre-demographic dividend,PRE,43.7518511,53.49433526,2.753813638,919485393,50.0255473,49.9744527,4.237286451
Puerto Rico,PRI,16.83608611,64.48906368,18.67485021,3195153,47.54990627,52.45009373,
Qatar,QAT,13.54076419,85.08916548,1.370070339,2781677,75.50471262,24.49528738,3.07944355
Romania,ROU,15.53455496,66.12674365,18.33870139,19473936,48.65625694,51.34374306,4.98040299
russia,RUS,17.91408058,67.4112111,14.67470832,144478050,46.33823764,53.66176236,5.27112755
Rwanda,RWA,39.97557302,57.0862309,2.938196078,12301939,49.13893865,50.86106135,6.76069372
Samoa,WSM,38.32069709,56.87889093,4.800411974,196130,51.74375918,48.25624082,5.53209386
san_marino,SMR,,,,33785,,,6.39562063
Sao Tome and Principe,STP,42.51994996,54.55437193,2.925678109,211028,50.03648736,49.96351264,5.99199802
saudi_arabia,SAU,25.04284813,71.64306385,3.314088023,33699947,57.55415202,42.44584798,5.74181331
Senegal,SEN,43.05543037,53.85774593,3.086823701,15854360,48.72267023,51.27732977,5.51241197
Serbia,SRB,15.68968075,65.96452656,18.34579269,6982084,48.99747704,51.00252296,9.13502874
Seychelles,SYC,23.63537118,68.77008322,7.594545604,96762,51.34508826,48.65491174,3.93610353
Sierra Leone,SLE,41.05963935,55.97380444,2.966556211,7650154,49.87872785,50.12127215,16.53171514
Singapore,SGP,12.27828264,76.25833717,11.46338019,5638676,52.34187459,47.65812541,4.46958366
Sint Maarten (Dutch part),SXM,,,,40654,,,
slovakia,SVK,15.44613676,68.92461673,15.6292465,5447011,48.66166748,51.33833252,7.12513052
Slovenia,SVN,15.02177505,65.3713453,19.60687965,2067372,49.75479297,50.24520703,8.46829514
Small states,SST,29.11989708,64.85053347,6.029569449,40575321,52.37365951,47.62634049,5.038519339
Solomon Islands,SLB,40.2415843,56.15946524,3.598950459,652858,50.84536253,49.15463747,5.17074913
Somalia,SOM,46.57658407,50.55010499,2.873310943,15008154,49.86664979,50.13335021,
south_africa,ZAF,29.07948915,65.60250585,5.318005005,57779622,49.30584962,50.69415038,8.1098146
South Asia,SAS,28.4163476,65.74309191,5.840560482,1814388744,51.63803308,48.36196692,3.553253755
South Asia (IDA & IBRD),TSA,28.4163476,65.74309191,5.840560482,1814388744,51.63803308,48.36196692,3.553253755
South Sudan,SSD,41.82012143,54.78139569,3.39848288,10975920,50.04369564,49.95630436,
Spain,ESP,14.66700111,65.95449137,19.37850752,46723749,49.10335869,50.89664131,8.97038932
sri_lanka,LKA,24.19700102,65.32977922,10.47321975,21670000,48.03318234,51.96681766,3.89324108
St. Kitts and Nevis,KNA,,,,52441,,,5.67183165
saint_lucia,LCA,18.528883,71.66458664,9.806530356,181889,49.24954643,50.75045357,5.30656361
St. Martin (French part),MAF,,,,37264,,,
saint_vincent_and_the_grenadines,VCT,22.54130713,67.86890601,9.589786863,110210,50.79121677,49.20878323,3.56292208
Sub-Saharan Africa,SSF,42.53841232,54.47388208,2.987705607,1078306520,49.88683248,50.11316752,5.155991777
Sub-Saharan Africa (excluding high income),SSA,42.54010873,54.47259909,2.987292174,1078209758,49.88670161,50.11329839,5.157123142
Sub-Saharan Africa (IDA & IBRD countries),TSS,42.53841232,54.47388208,2.987705607,1078306520,49.88683248,50.11316752,5.155991777
Sudan,SDN,40.50879187,55.91004761,3.581160528,41801533,49.95258547,50.04741453,5.6648529
Suriname,SUR,27.17026337,65.92336673,6.906369902,575991,50.28290569,49.71709431,6.06415279
Sweden,SWE,17.58178546,62.32268961,20.09552493,10183175,50.05422383,49.94577617,10.93479344
Switzerland,CHE,14.91095477,66.46582867,18.62321656,8516543,49.57287534,50.42712466,12.24760438
syria,SYR,31.42154081,64.07533477,4.503124421,16906283,50.18578864,49.81421136,
Tajikistan,TJK,36.78428408,60.19382837,3.021887552,9100837,50.41616456,49.58383544,6.99849461
united_republic_of_tanzania,TZA,44.09823815,53.30046267,2.601299178,56318348,49.94898909,50.05101091,4.13992059
Thailand,THA,17.08698882,71.01211804,11.90089314,69428524,48.73129539,51.26870461,3.71143463
timor_leste,TLS,37.78066427,57.90284343,4.316492294,1267972,50.54153276,49.45846724,4.02059179
Togo,TGO,41.3345235,55.79600849,2.869468011,7889094,49.73195278,50.26804722,6.61568574
Tonga,TON,35.41575821,58.63058035,5.953661444,103197,50.01308152,49.98691848,5.26385403
trinidad_and_tobago,TTO,20.41957257,68.84547391,10.73495352,1389858,49.40867337,50.59132663,6.5104014
Tunisia,TUN,24.17012035,67.51420057,8.315679079,11565204,49.56284814,50.43715186,6.95195517
Turkey,TUR,24.64941014,66.86737692,8.48321294,82319724,49.3221868,50.6778132,4.3143198
Turkmenistan,TKM,30.82236394,64.7510016,4.426634462,5850908,49.2392626,50.7607374,6.61802128
Turks and Caicos Islands,TCA,,,,37665,,,
Tuvalu,TUV,,,,11508,,,15.45402053
Uganda,UGA,46.93052518,51.1284879,1.94098692,42723139,49.2239211,50.7760789,6.16503174
Ukraine,UKR,15.81241317,67.75290039,16.43468644,44622516,46.3122493,53.6877507,6.72703787
united_arab_emirates,ARE,14.60350937,84.31148965,1.085000985,9630959,69.36331205,30.63668795,3.51684955
united_kingdom,GBR,17.67808207,63.92605226,18.39586567,66488991,49.36472544,50.63527456,9.7623484
united_states_of_america,USA,18.70903998,65.48330596,15.80765406,327167434,49.47998535,50.52001465,17.07341533
Upper middle income,UMC,20.74864674,69.21340446,10.0379488,2655635719,50.24818566,49.75181434,5.854028787
Uruguay,URY,20.60798107,64.57749939,14.81451953,3449299,48.27845731,51.72154269,9.06075776
Uzbekistan,UZB,28.68605741,66.89480471,4.419137878,32955400,49.86264108,50.13735892,6.33520937
Vanuatu,VUT,38.84823015,57.51161678,3.640153068,292680,50.71119843,49.28880157,3.69175091
venezuela,VEN,27.66665058,65.0663628,7.26698662,28870195,49.3667402,50.6332598,3.21708435
Vietnam,VNM,23.17267683,69.55234487,7.274978298,95540395,49.90359038,50.09640962,5.65919354
Virgin Islands (U.S.),VIR,19.7134123,60.99828047,19.28830722,106977,47.56286304,52.43713696,
West Bank and Gaza,PSE,38.94736128,57.91933298,3.133305737,4569087,50.72235573,49.27764427,
World,WLD,25.79537624,65.33118151,8.873442244,7594270356,50.41544523,49.58455477,10.02127141
"Yemen, Rep.",YEM,39.61489027,57.50883997,2.876269756,28498687,50.38834251,49.61165749,
Zambia,ZMB,44.93614116,52.96418082,2.099678026,17351822,49.50679224,50.49320776,4.47720737
Zimbabwe,ZWE,42.40106624,54.65941011,2.939523653,14439018,47.64324793,52.35675207,9.41366844
